Time,Symbol,Strategy,Direction,Lot Size,Entry Price,SL,TP,PnL,Result,Cumulative PnL
2025-04-28 09:33:59.976429,BTCUSD,Trend,Sell,0.73,1056.24,1039.95,1074.18,141.55,Win,141.55
2025-04-28 10:03:59.976429,US30,Trend,Buy,0.54,1813.22,1795.33,1829.4,61.32,Win,202.87
2025-04-28 10:33:59.976429,US30,Trend,Sell,0.8,2315.2,2303.18,2328.12,-37.7,Loss,165.17000000000002
2025-04-28 11:03:59.976429,XAUUSD,Breakout,Buy,0.43,2294.99,2278.27,2301.91,17.73,Win,182.9
2025-04-28 11:33:59.976429,NAS100,Scalping,Sell,0.44,1327.19,1317.09,1348.64,76.31,Win,259.21000000000004
2025-04-28 12:03:59.976429,NAS100,Breakout,Buy,0.33,2299.42,2294.11,2322.49,106.19,Win,365.40000000000003
2025-04-28 12:33:59.976429,XAUUSD,Breakout,Buy,0.76,1507.48,1501.65,1532.64,42.86,Win,408.26000000000005
2025-04-28 13:03:59.976429,XAUUSD,Trend,Buy,0.84,2302.4,2295.57,2325.5,20.21,Win,428.47
2025-04-28 13:33:59.976429,NAS100,Scalping,Buy,0.91,1079.88,1066.77,1086.32,-29.58,Loss,398.89000000000004
2025-04-28 14:03:59.976429,EURUSD,Trend,Buy,0.86,1312.33,1300.15,1325.19,118.79,Win,517.6800000000001
2025-04-28 14:33:59.976429,NAS100,Scalping,Sell,0.37,1001.97,986.05,1026.89,146.63,Win,664.3100000000001
2025-04-28 15:03:59.976429,US30,Breakout,Sell,0.95,1834.31,1820.36,1842.38,70.49,Win,734.8000000000001
2025-04-28 15:33:59.976429,BTCUSD,Scalping,Buy,0.62,1281.95,1265.36,1308.61,22.54,Win,757.34
2025-04-28 16:03:59.976429,NAS100,Trend,Sell,0.27,2360.52,2345.15,2388.91,-5.98,Loss,751.36
2025-04-28 16:33:59.976429,US30,Scalping,Sell,0.49,2316.23,2299.34,2341.6,10.64,Win,762.0
2025-04-28 17:03:59.976429,EURUSD,Scalping,Buy,0.48,1942.5,1924.18,1963.06,20.1,Win,782.1
2025-04-28 17:33:59.976429,NAS100,Breakout,Buy,0.4,1907.91,1902.42,1924.84,142.37,Win,924.47
2025-04-28 18:03:59.976429,BTCUSD,Breakout,Buy,0.84,1900.31,1881.18,1922.19,-23.21,Loss,901.26
2025-04-28 18:33:59.976429,XAUUSD,Breakout,Sell,0.32,1600.37,1588.07,1614.29,122.04,Win,1023.3
2025-04-28 19:03:59.976429,XAUUSD,Breakout,Sell,0.35,1744.89,1732.66,1751.21,-48.93,Loss,974.37
2025-04-28 19:33:59.976429,BTCUSD,Scalping,Buy,0.12,1318.18,1303.4,1325.4,-45.86,Loss,928.51
2025-04-28 20:03:59.976429,US30,Trend,Sell,0.56,1602.03,1586.25,1612.39,-42.74,Loss,885.77
2025-04-28 20:33:59.976429,BTCUSD,Trend,Sell,0.73,1142.71,1130.44,1156.15,102.09,Win,987.86
2025-04-28 21:03:59.976429,BTCUSD,Trend,Buy,0.65,1120.6,1111.45,1128.65,135.39,Win,1123.25
2025-04-28 21:33:59.976429,US30,Breakout,Sell,0.1,2050.92,2044.44,2066.62,120.74,Win,1243.99
2025-04-28 22:03:59.976429,BTCUSD,Scalping,Buy,0.14,2212.12,2200.42,2240.56,145.16,Win,1389.15
2025-04-28 22:33:59.976429,XAUUSD,Breakout,Buy,0.43,1466.34,1455.63,1486.24,56.31,Win,1445.46
2025-04-28 23:03:59.976429,XAUUSD,Scalping,Buy,0.15,1352.32,1345.71,1360.54,-19.91,Loss,1425.55
2025-04-28 23:33:59.976429,US30,Trend,Buy,0.65,1120.44,1110.67,1143.21,101.77,Win,1527.32
2025-04-29 00:03:59.976429,BTCUSD,Trend,Buy,0.21,1801.75,1790.7,1830.68,99.63,Win,1626.9499999999998
2025-04-29 00:33:59.976429,US30,Scalping,Sell,0.31,1935.54,1925.7,1942.35,-10.19,Loss,1616.7599999999998
